WAGE	AGE	AGE2	AGEW	AGEY	CHILDREN	DEGREEW	FEDUCA	FEDUCH	GRADCOLLW	GRADHS	GRADHSW	HAPPINESS	MARRIED	MEDUCA	MEDUCH	SEX	YEARSCOLL	STATE	GRADCOLL	DEGREE
45	36	1296	31	0	0	3	0	7	1	1	1	1	1	0	7	1	4	36	1	2
8.25	24	576	21	1	1	0	0	3	0	1	3	1	2	0	3	1	0	40	0	0
7.25	33	1089	0	1	3	0	0	3	0	1	0	3	4	0	6	2	2	28	5	0
14	48	2304	45	10	1	0	0	4	0	1	1	4	1	0	4	1	1	26	5	0
9	67	4489	59	0	0	1	0	4	1	2	1	2	1	0	4	1	2	26	1	1
17	30	900	0	6	4	0	0	8	0	1	0	2	4	0	4	1	1	30	5	0
13.35999966	48	2304	0	14	1	0	0	4	0	1	0	2	5	0	5	2	1	24	5	0
26.5	57	3249	55	0	0	0	0	4	5	1	1	2	1	0	2	1	2	39	5	0
15	76	5776	0	0	0	0	0	4	0	1	0	2	4	0	4	1	5	6	1	3
19	45	2025	0	0	0	0	0	6	0	1	0	4	2	0	5	2	1	27	5	0
14.60000038	55	3025	51	0	0	0	0	4	5	1	1	3	1	0	4	1	0	39	0	0
12	41	1681	53	1	1	0	0	5	0	1	1	3	2	0	6	1	0	45	0	0
16	32	1024	31	1	1	2	0	4	1	1	1	2	1	0	4	1	2	53	1	1
22	50	2500	46	0	0	0	0	4	0	1	1	1	1	0	3	1	0	6	0	0
7.75	48	2304	0	0	0	0	0	5	0	1	0	2	4	0	3	2	0	37	0	0
8.5	27	729	0	5	1	0	0	3	0	1	0	3	2	0	2	2	0	36	0	0
26	37	1369	0	0	0	0	0	4	0	1	0	1	2	0	4	2	4	6	1	2
32	34	1156	31	1	1	2	0	7	1	1	1	2	1	0	7	1	4	45	5	0
19	35	1225	30	1	1	2	0	4	1	1	1	2	1	0	4	1	0	18	0	0
8.239999771	30	900	0	0	0	0	0	4	0	1	0	2	2	0	4	2	0	18	0	0
9.5	22	484	28	6	1	0	0	0	5	2	1	2	2	6	0	1	0	4	0	0
22	44	1936	0	0	0	0	0	7	0	1	0	2	2	0	7	1	4	39	1	1
35	25	625	0	7	1	0	0	4	0	2	0	3	2	0	4	2	0	29	0	0
10.18999958	63	3969	0	0	0	0	0	3	0	1	0	2	4	0	4	1	3	18	5	0
21.96999931	48	2304	47	0	0	0	0	3	0	1	1	3	1	0	4	1	0	25	0	0
21	28	784	0	0	0	0	0	7	0	1	0	2	2	0	7	2	5	8	1	3
8	37	1369	0	8	2	0	0	4	0	3	0	1	2	0	4	2	0	26	0	0
48.38000107	54	2916	47	0	0	0	16	0	5	1	1	1	1	12	0	1	4	6	1	2
19	51	2601	50	12	1	0	0	3	0	1	1	2	1	0	4	1	0	27	0	0
18	58	3364	56	10	2	0	0	2	0	1	1	2	1	0	2	1	0	19	0	0
8.899999619	49	2401	0	0	0	0	0	1	0	2	0	2	2	0	2	2	0	22	0	0
7.400000095	22	484	21	1	2	0	0	4	0	1	1	3	2	0	4	1	0	26	0	0
22	30	900	28	1	1	2	0	7	1	1	1	2	1	0	4	1	4	19	1	2
16	30	900	32	16	1	0	0	6	0	1	2	2	1	0	4	1	2	6	1	1
13.5	57	3249	0	0	0	0	0	3	0	1	0	3	3	0	3	2	2	26	1	1
10	28	784	0	3	1	0	0	0	0	1	0	2	2	0	0	2	0	46	0	0
33.40000153	51	2601	48	15	1	0	0	8	0	1	1	2	1	0	4	1	3	27	5	0
19	52	2704	52	0	0	0	0	4	0	1	1	3	1	0	4	1	2	8	1	1
12.30000019	56	3136	0	0	0	0	0	4	0	2	0	3	5	0	3	2	0	48	0	0
14.36999989	26	676	0	3	2	0	0	6	0	1	0	1	2	0	2	2	0	36	0	0
13.5	54	2916	0	0	0	0	0	4	0	2	0	3	2	0	6	1	0	1	0	0
25	53	2809	52	0	0	0	0	4	5	1	1	1	1	0	4	1	0	8	0	0
50	58	3364	52	16	1	0	0	7	5	1	1	2	1	0	4	1	2	34	1	1
26.54999924	53	2809	0	0	0	0	0	4	0	1	0	2	4	0	4	2	4	53	1	2
10.5	52	2704	0	13	1	0	10	0	0	1	0	2	3	10	0	2	2	0	5	0
7.5	53	2809	0	0	0	0	0	5	0	3	0	2	2	0	3	2	0	26	0	0
50	39	1521	34	3	1	3	0	7	1	1	1	2	1	0	7	1	5	26	1	3
24	45	2025	0	1	1	0	0	4	0	1	0	3	4	0	4	2	2	12	5	0
20	43	1849	41	9	2	2	0	2	1	1	1	1	1	0	2	1	4	29	1	2
29.52000046	49	2401	0	0	0	0	0	4	0	1	0	2	4	0	4	2	0	6	0	0
21	47	2209	0	0	0	0	0	2	0	1	0	2	2	0	4	2	0	36	0	0
22	49	2401	52	0	0	0	0	6	0	1	1	3	1	0	4	1	0	39	0	0
13.19999981	39	1521	0	8	4	0	0	6	0	2	0	3	2	0	6	2	0	26	0	0
9	31	961	0	0	0	0	0	6	0	1	0	4	2	0	3	1	3	18	5	0
18	47	2209	45	0	0	0	0	4	5	1	1	3	1	0	4	1	0	48	0	0
16.39999962	50	2500	49	0	0	3	0	4	1	1	1	2	1	0	4	1	5	1	1	3
14	53	2809	0	0	0	0	0	6	0	1	0	3	4	0	6	2	2	55	5	0
70	41	1681	41	7	3	0	12	0	0	0	0	2	1	14	0	1	0	6	0	0
17	31	961	29	0	0	1	0	4	1	1	1	3	1	0	4	1	2	26	5	0
8.5	50	2500	0	0	0	0	0	4	0	1	0	2	2	0	3	2	0	28	0	0
13.72999954	27	729	0	0	0	0	0	4	0	1	0	2	2	0	4	1	4	5	1	2
9.5	48	2304	0	0	0	0	0	4	0	1	0	2	2	0	7	2	0	6	0	0
22	56	3136	55	1	1	2	0	4	1	2	1	1	1	0	4	1	0	17	0	0
160	30	900	0	0	0	0	20	0	0	1	0	2	2	6	6	1	4	48	1	2
32.5	34	1156	32	4	2	0	0	4	0	1	1	2	1	0	4	1	0	29	0	0
37	53	2809	55	0	0	0	0	3	5	1	1	1	1	0	4	1	0	53	0	0
10.5	29	841	26	1	1	0	0	3	0	1	1	2	1	0	3	1	2	19	5	0
11.06000042	27	729	0	0	0	0	0	6	0	1	0	2	2	0	4	1	4	53	1	2
